Facility Name,Address,City,State,Zip Code,Phone Number,Facility Type,Type of Care,Regulation Status,Capacity,Serves DHS Children,Head Start,Relief Nursery,QRIS Stars
Little Stars Daycare,925 3rd St,Tillamook,OR,97141-9478,5038012151,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Jen's Quality ChildCare,443 NE 10th Ct,Newport,OR,,,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Lil Explorers Outdoor School,100 Peter Iredale Rd,Hammond,OR,97121-9712,3604481891,Center,Exempt Center,Recorded,10,Unknown,No,No,.
Bright Bumble Bee Childcare & Preschool,16 NW Cottage St,Newport,OR,97365-3753,5419617648,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,.
Preschooly,1565 NW 31st Pl,Lincoln City,OR,97367,5038666644,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Bumble Art Studio,230 10th St,Astoria,OR,97103-4505,5037918096,Center,Exempt Center,Recorded,26,Unknown,No,No,.
Bumble Art Studio,230 10th St,Astoria,OR,97103-4505,5037918096,Center,Exempt Center,Recorded,26,Unknown,No,No,.
Little Angels Child Care,989 S Williams Street,Lebanon,OR,,5414058774,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Sharing Hands Learning Tree Pre-School,145 Park St,Brownsville,OR,97327,5414663110,Center,Exempt Center,Recorded,18,Unknown,No,No,.
Little Promises Children's Programs,28028 Pleasant Valley Rd,Sweet Home,OR,97386,5413674350,Center,Regulated  Center (not HS),Certified,105,Yes,No,No,.
Gabriella,1241 NE Lafayette Street,Albany,OR,,5417301966,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
KB Sitting,2676 Wheeler St SE,Albany,OR,97322,5419998572,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Crescent Valley High School Preschool Program,4444 NW Highland Drive,Corvallis,OR,,5417574563,Center,Exempt Center,Exempt,28,Unknown,No,No,.
,3143 Lyon St SE,Albany,OR,97322,5417918122,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,2
,3115 27th Ave SE,Albany,OR,97322,5417307084,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,3
LBCC Parent Cooperative Preschool - Central Linn,239 W 2nd St,Halsey,OR,97348,5419174891,Center,Exempt Center,Recorded,16,Unknown,No,No,.
Presbyterian Child Care Center/Preschool,330 5th Ave SW,Albany,OR,97321-2346,5419263183,Center,Regulated  Center (not HS),Certified,74,Yes,No,No,.
,1721 Water Avenue,Albany,OR,,5417914198,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
LBCC Parent Cooperative Preschool - Corvallis,757 NW Polk Ave,Corvallis,OR,97330,5419174891,Center,Exempt Center,Recorded,16,Unknown,No,No,.
,1610 NW Forestgreen Ave,Corvallis,OR,97330,5417382541,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
Maple Lawn Preschool,1950 Salem Avenue SE,Albany,OR,,5419177766,Center,Exempt Center,Exempt,27,Unknown,No,No,.
LBCC Parent Cooperative Preschool - Scio,38743 N Ash St,Scio,OR,97374,5419174891,Center,Exempt Center,Recorded,16,Unknown,No,No,.
Awesome Blossom Child Care,1810 31st Ave SE,Albany,OR,97322,5419748437,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,.
,3037 23rd Ave SE,Albany,OR,97322,5419810101,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Sweet Peas & Pods Childcare,1689 Antelope Cir SW,Albany,OR,97321,5039490705,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,.
Hand in Hand Early Learning Center,2800 NW Tyler Ave,Corvallis,OR,97330,5417581554,Center,Regulated  Center (not HS),Certified,95,Yes,No,No,2
North Albany Learning Center,920 NW Peacock Ln,Albany,OR,97321,5417914800,Center,Regulated  Center (not HS),Certified,36,Yes,No,No,.
Diana's Tot Care,1406 NE Front Ave,Albany,OR,97321,5419260846,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,33179 Fuchsia Ln,Tangent,OR,97389,5416193200,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
Philomath Montessori School,1123 Main St,Philomath,OR,97370-9810,5419292672,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,4
LBCC Parent Cooperative Preschool - Albany,3122 SE Madison St SE,Albany,OR,97322,5419174891,Center,Exempt Center,Recorded,16,Unknown,No,No,.
Jumping for Joy Preschool,710 Smith Street,Harrisburg,OR,,5419147573,Center,Exempt Center,Exempt,29,Unknown,No,No,.
Kidco Early Head Start - Corvallis,1650 SW 45th Pl,Corvallis,OR,97333,5417522111,Center,Head Start/Early HS,Certified,8,Unknown,Yes,No,5
My Little Playschool,1245 Canal Ave SE,Albany,OR,97322,5416194777,Certified,Regulated Family Child Care Home,Certified,8,Unknown,No,No,.
Fern Friends,2530 NW Hayes Ave,Corvallis,OR,97330,5419082747,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,.
A Bee C Child Care,38652 River DR,Lebanon,OR,97355,5419793238,Certified,Regulated Family Child Care Home,Certified,12,Yes,No,No,3
,1225 Thurston St SE,Albany,OR,97322,5419286837,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
Mighty Oak Child Care,26475 Shady Oak Dr,Monroe,OR,97456,5418475849,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,3
STARS Jefferson,1825 NW 27th St,Corvallis,OR,97330,5417574521,Center,Regulated  Center (not HS),Certified,40,Unknown,No,No,.
Sandcastle Preschool,435 NW 21st St,Corvallis,OR,97330-5536,5417537078,Center,Regulated  Center (not HS),Certified,34,Unknown,No,No,5
Amber's Childcare,5440 Springhill Drive NW,Albany,OR,,5412481215,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
CAP Takena,1210 SW 12th Ave,Albany,OR,97321,5419796963,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,2
,626 SE Bain Street,Albany,OR,,5419056221,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Kidco Periwinkle Head Start - Albany,6500 Pacific Blvd SW,Albany,OR,97321,5419174734,Center,Head Start/Early HS,Certified,63,Unknown,Yes,No,5
Good Shepherd Lutheran School and Child Care,1910 34th Ave SE,Albany,OR,97322,5419260246,Center,Regulated  Center (not HS),Certified,122,Unknown,No,No,2
Jenny's Family Childcare,38359 Century DR NE,Albany,OR,97322,5035078155,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,736 W Morton St,Lebanon,OR,97355-2240,5415708611,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,.
Central Valley Christian Preschool,31630 Highway 34,Tangent,OR,97389,5419287820,Center,Regulated  Center (not HS),Certified,10,Unknown,No,No,2
Family Tree Relief Nursery - Lebanon,700 S 10th St,Lebanon,OR,97355,5412233506,Center,Regulated  Center (not HS),Certified,11,Unknown,No,Yes,5
Pie Preschool,100 Sand Ridge Court,Lebanon,OR,,5412585550,Center,Exempt Center,Exempt,16,Unknown,No,No,.
Grant Avenue Preschool,1625 NW Grant Ave Preschool Program,Corvallis,OR,97330,5417580274,Center,Exempt Center,Recorded,45,Unknown,No,No,.
STARS Adams,1615 SW 35th St,Corvallis,OR,97330,5417571909,Center,Regulated  Center (not HS),Certified,50,Unknown,No,No,.
Seventh Heaven Childcare,30125 Ingram Road,Lebanon,OR,,5419902810,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Lisa's Daycare,30447 Santiam River Road,Lebanon,OR,,5412591777,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
CAP Clover Ridge,2953 Clover Ridge Rd NE,Albany,OR,97322,5419746409,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,2
Small Wonders Preschool,847 NW Ermine Pl,Corvallis,OR,97330,5412317899,Certified,Regulated Family Child Care Home,Certified,14,Yes,No,No,2
STARS Mountain View,340 Granger Ave,Corvallis,OR,97330,5417664766,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
Beaver Beginnings-CCLC,102 Child Care Center,Corvallis,OR,97331,5417374641,Center,Regulated  Center (not HS),Certified,148,Unknown,No,No,4
,330 West 5th St,Halsey,OR,97348,5419907298,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,635 Russell Dr,Lebanon,OR,97355,5419903465,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,4
Boys & Girls of Corvallis -  Club Plus,1112 NW Circle Boulevard,Corvallis,OR,,5417571909,Center,Exempt Center,Exempt,20,Unknown,No,No,.
First United Methodist Early Learning Center,1115 28th Ave SW,Albany,OR,97321,5419284363,Center,Regulated  Center (not HS),Certified,35,Unknown,No,No,2
,2479 SW Pickford St Apt D,Corvallis,OR,97333,5412502137,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,3
,334 Vincent St,Philomath,OR,97370,5419295621,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Corvallis Waldorf School Early Childhood & Extended Day Program,3855 NE Highway 20,Corvallis,OR,97330,5417584674,Center,Regulated  Center (not HS),Certified,50,Unknown,No,No,2
Precious Smiles Daycare,765 Priceboro Rd,Harrisburg,OR,97446,5419530101,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,2
Bright Beginnings Home Preschool,3930 NW Tillicum Pl,Corvallis,OR,97330,5417579884,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
OSU Child Development Center,110 SW 26th St,Corvallis,OR,97331,5417372516,Center,Head Start/Early HS,Certified,60,Unknown,Yes,No,5
Boys & Girls Club of Sweet Home,890 18th Ave,Sweet Home,OR,97386,5413676421,Center,Exempt Center,Recorded,250,Unknown,No,No,.
Kidco Head Start - Crawfordsville Head Start,38420 Glass Ave,Crawfordsville,OR,97336,5413673361,Center,Head Start/Early HS,Certified,17,Unknown,Yes,No,.
A Child's Place: Lynn Thompson's Family Childcare,7360 NW Valley View DR,Corvallis,OR,97330,5412312727,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,4
,863 20th Ave SE,Albany,OR,97322,5419903152,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,.
The Growing Tree,37037 Gore Dr,Lebanon,OR,97355,5415705034,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
Rugrats THCC,1630 NW Maple Ave,Corvallis,OR,97330,5417523261,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
,510 Walker Road,Lebanon,OR,,5412205880,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Presbyterian Preschool and Child Care Center,114 SW 8th St,Corvallis,OR,97333,5417537752,Center,Regulated  Center (not HS),Certified,72,Yes,No,No,2
Kids Club,305 S 5th St,Lebanon,OR,97355,5414019896,Center,Regulated  Center (not HS),Certified,39,Yes,No,No,3
,4189 Shortridge Street SE,Albany,OR,,5414011890,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
CAP Periwinkle,2196 21st Ave SE,Albany,OR,97322,5419790013,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,2
North Albany Elementary CAP,815 E Thornton Lake Dr,Albany,OR,97321,,Center,Regulated  Center (not HS),Certified,27,Unknown,No,No,.
,650 Wagon Wheel Dr,Lebanon,OR,97355,5414013824,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
CCCC-Lancaster,3285 NE Oxford Cir,Corvallis,OR,97330,5417530191,Center,Regulated  Center (not HS),Certified,56,Yes,No,No,2
CAP Lafayette,3122 Madison St SE,Albany,OR,97322,5419263485,Center,Regulated  Center (not HS),Certified,60,Yes,No,No,2
,968 NE Angelee Pl,Corvallis,OR,97330,5417523224,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Stepping Stones,3313 SE Columbus St,Albany,OR,97322,5419749740,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
Trees of the Field Family Childcare,3402 SW Knollbrook Ave,Corvallis,OR,97333,5417548374,Certified,Regulated Family Child Care Home,Certified,10,Unknown,No,No,2
Stepping Stones Preschool,6880 SW West Hills Rd,Corvallis,OR,,5419292772,Center,Exempt Center,Exempt,32,Unknown,No,No,.
Ninos A.J.C.,3175 Noah Ave SE,Albany,OR,97322,5417305792,Family,Regulated Family Child Care Home,Register,9,Yes,No,No,2
Ellen's Daycare,204 E Blakely Ave,Brownsville,OR,97327,5419711044,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Erin's Home Childcare,747 Trinity St NE,Albany,OR,97322,5419909572,Family,Regulated Family Child Care Home,Register,9,Unknown,No,No,.
Albany Christian Preschool,420 3rd Ave SE,Albany,OR,97321,5419281110,Center,Regulated  Center (not HS),Certified,99,Unknown,No,No,.
Kidco Head Start - Harrisburg Head Start,885 Sommerville Ln,Harrisburg,OR,97446,5419958270,Center,Head Start/Early HS,Recorded,17,Unknown,Yes,No,.
HART Parent Co-op Preschool,430 Smith ST,Harrisburg,OR,97446,5419957700,Center,Exempt Center,Recorded,13,Unknown,No,No,.
Olivias Day Care,755 NE Circle Blvd Spc 29,Corvallis,OR,97330,5412075127,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
Hey Diddle Diddle Learning Center Inc,553 Main St SE,Albany,OR,97321,5419264423,Center,Regulated  Center (not HS),Certified,48,Yes,No,No,.
Kids in Motion Childcare & More,560 S 5th St,Harrisburg,OR,97446,5419955114,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
East Linn Christian Academy - Inch By Inch Preschool,36883 Victory Dr,Lebanon,OR,97355,5412592304,Center,Regulated  Center (not HS),Certified,32,Unknown,No,No,.
,25615 Wonderly Ln,Philomath,OR,97370,5419294187,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Animal Cracker Childcare,1501 35th St SE,Albany,OR,97322,5417040443,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
Kidco Head Start - Lebanon Center,31575 Sand Ridge Rd,Lebanon,OR,97355,5412592227,Center,Head Start/Early HS,Certified,40,Unknown,Yes,No,5
Little Peoples Child Care,180 Foxwood Ct SE,Albany,OR,97322,5412231681,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
Small World School,1924 NW Division St,Corvallis,OR,97330,5417522868,Center,Regulated  Center (not HS),Certified,25,Unknown,No,No,2
First Christian Pre-Primary School,432 SW Ferry St,Albany,OR,97321,5419171931,Center,Exempt Center,Recorded,95,Unknown,No,No,.
Sundborn Children's House,1015 7th Ave SE,Albany,OR,97321,5419249480,Center,Regulated  Center (not HS),Certified,59,Yes,No,No,2
,2714 Newton Street,Philomath,OR,,5412501482,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,473 Fir St,Lyons,OR,97358,5035089067,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,2719 S 11th St,Lebanon,OR,97355,5412587784,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Your 2nd Home Daycare,107 Neabeack Hill Dr,Philomath,OR,97370,5412077950,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
,2588 Waterford St SE,Albany,OR,97322,5412236375,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Kidco Head Start - Riverside Center,35140 Meadow Rd SW,Albany,OR,97321,5419671044,Center,Head Start/Early HS,Certified,80,Unknown,Yes,No,5
Little Ewe Christian Preschool,3111 S Main Rd,Lebanon,OR,97355,5414511065,Center,Exempt Center,Recorded,30,Unknown,No,No,.
Little Beavers Preschool,4940 NW Highway 99,Corvallis,OR,97330,5417548899,Center,Regulated  Center (not HS),Certified,60,Yes,No,No,3
Lincoln Lion's Den,110 SE Alexander Avenue,Corvallis,OR,,5412433076,Center,Exempt Center,Exempt,100,Unknown,No,No,.
Dawn's Daycare,430 SW 4th Ave,Albany,OR,97321,5419715706,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
KB Family Care,1705 Ash St,Philomath,OR,97370,5412078835,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,2
Mari's Place Community Outreach Inc,863 NW Reiman St,Corvallis,OR,97330,5417583000,Center,Regulated  Center (not HS),Certified,18,Yes,No,No,2
Boys & Girls Club of Corvallis - Summer Club,1112 NW Circle Blvd,Corvallis,OR,97330,5417571909,Center,Exempt Center,Recorded,300,Unknown,No,No,.
Ashbrook Independent School,4045 SW Research Way,Corvallis,OR,97333,5417668313,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,.
Santiam Christian School,7220 NE Arnold Ave,Adair Village,OR,97330,5417455655,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
,4135 Chartwell Street SE,Albany,OR,,5412200296,Family,Exempt Family Child Care Home,Exempt,2,Unknown,No,No,.
Philomath Youth Activities School Age Child Care/STARS,535 S 19th St,Philomath,OR,97370,5417603563,Center,Regulated  Center (not HS),Certified,60,Unknown,No,No,.
Kidco Early Head Start - Sweet Home,1641 Long St,Sweet Home,OR,97386,5418180584,Center,Head Start/Early HS,Certified,8,Unknown,Yes,No,5
Noah's Ark,2760 SW 53rd St,Corvallis,OR,97333-1314,5417532196,Center,Regulated  Center (not HS),Certified,48,Yes,No,No,3
,3324 Harvard Ave SE,Albany,OR,97322,5419284438,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,3
Alexander's Child Care,4131 Thoroughbred Avenue SE,Albany,OR,,5035106222,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
STARS Wilson,2701 NW Satinwood St,Corvallis,OR,97330,5417574401,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
Eagle Nest Preschool at King's Valley,38840 Kings Valley Highway,Philomath,OR,,5419292134,Center,Exempt Center,Exempt,10,Unknown,No,No,.
Art at Cathy's Childcare,2815 NW Hayes Ave,Corvallis,OR,97330,5412313037,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,2
,1530 NW Circle Blvd,Corvallis,OR,97330,5412509797,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Melissa's In-Home Daycare - Mud Puppies,2035 Primrose Loop,Philomath,OR,97370,5417407329,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,3502 NW Highway 20,Albany,OR,,5419266837,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Boys & Girls Club of Lebanon,305 S 5th St,Lebanon,OR,97355,5412587105,Center,Exempt Center,Recorded,400,Unknown,No,No,.
,2911 SE 20th Ave,Albany,OR,97322,5419743588,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Flutterby Daycare,3043 27th Ave SE,Albany,OR,97322,5419905797,Family,Regulated Family Child Care Home,Register,8,Yes,No,No,2
Kidco Head Start - Sunnyside Center,44829 Quartzville Rd,Foster,OR,97345,5413678070,Center,Head Start/Early HS,Certified,38,Unknown,Yes,No,5
STARS Hoover,3838 NW Walnut Blvd,Corvallis,OR,97330,5417664580,Center,Regulated  Center (not HS),Certified,45,Unknown,No,No,.
,1011 Vista Lane,Sweet Home,OR,,5416199528,Family,Exempt Family Child Care Home,Exempt,2,Unknown,No,No,.
,800 SE Bell Ave,Corvallis,OR,97333,5417540142,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Santiam Christian School,7220 NE Arnold Ave,Adair Village,OR,97330,5417455655,Center,Exempt Center,Recorded,60,Unknown,No,No,.
Scio Youth Club,39001 NE 4th Ave,Scio,OR,,5033943910,Center,Exempt Center,Exempt,20,Unknown,No,No,.
Alsea Pups Preschool,301 S 3rd St,Alsea,OR,97324,5414874305,Center,Regulated  Center (not HS),Certified,20,Unknown,No,No,.
Corvallis Montessori School,2730 NW Greeley Ave,Corvallis,OR,97330,5417532513,Center,Regulated  Center (not HS),Certified,110,Unknown,No,No,3
The Magic Flute Bilingual Pre-School,2945 NW Circle Blvd,Corvallis,OR,97330,5416024140,Center,Regulated  Center (not HS),Certified,35,Unknown,No,No,.
Y-Preschool Mid-Willamette Valley YMCA,3201 Pacific Blvd SW,Albany,OR,97321,5419264488,Center,Exempt Center,Recorded,15,Unknown,No,No,.
Kidco Head Start - Philomath Center,1123 Main St,Philomath,OR,97370,5419297595,Center,Head Start/Early HS,Certified,19,Unknown,Yes,No,5
LBCC Parent Cooperative Preschool - Philomath,2021 Chapel DR,Philomath,OR,97370,5419174891,Center,Exempt Center,Recorded,16,Unknown,No,No,.
Family Tree Relief Nursery,1005 NW Springhill Dr,Albany,OR,97321,5419676580,Center,Regulated  Center (not HS),Certified,19,Unknown,No,Yes,5
Old Mill Center for Children and Families,1650 SW 45th St,Corvallis,OR,97333,5417578068,Center,Regulated  Center (not HS),Certified,16,Unknown,No,Yes,5
Kidz Korner,33009 Sand Ridge Rd,Lebanon,OR,97355,5417602815,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
La Petite Playschool,5433 SW Willow Ave,Corvallis,OR,97333,5419082812,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Charity's Daycare,3108 23rd Ave SE,Albany,OR,97322,5419812746,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,.
Lady Bug Garden Child Care,35937 Bryant Dr SW,Albany,OR,97321,5419287065,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,3
,300 NE Cambridge Cir,Corvallis,OR,97330,5418291989,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
Jamie's Daycare,4240 Grand Prairie Rd SE,Albany,OR,97322,5039103587,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Garfield Gecko Club,1205 NW Garfield,Corvallis,OR,,5417571909,Center,Exempt Center,Exempt,100,Unknown,No,No,.
,2924 Hill St SE,Albany,OR,97322,5412205671,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,3001 Hill Street SE,Albany,OR,,5419050449,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Wonders Early Learning Center,2700 SW 3rd St,Corvallis,OR,97333,7204681206,Center,Regulated  Center (not HS),Certified,26,Yes,No,No,.
Affordable Childcare LLC,130 Taylor St,Lebanon,OR,97355,5417406539,Family,Regulated Family Child Care Home,Register,5,Yes,No,No,2
,2608 NW Chinaberry Pl,Corvallis,OR,97330,5412311637,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
,156 N 4th Street,Lebanon,OR,,5414058521,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,34685 HWY 99E,Tangent,OR,97389,5419908602,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
,3335 Woodbine Pl,Philomath,OR,97370,5414977974,Family,Regulated Family Child Care Home,Register,5,Unknown,No,No,.
Boys & Girls Club of Corvallis- Club Plus,1112 NW Circle Blvd,Corvallis,OR,97330,5417571909,Center,Regulated  Center (not HS),Certified,26,Yes,No,No,.
,610 S 16th St,Lebanon,OR,97355,5415707143,Family,Regulated Family Child Care Home,Register,7,Yes,No,No,.
Andrea's Happy Munchkins Daycare,559 W Vine St,Lebanon,OR,97355,5414050945,Certified,Regulated Family Child Care Home,Certified,14,Unknown,No,No,2
Stepping Stones Early Learning Center,325 Pacific Blvd SW,Albany,OR,97321,5414975350,Center,Regulated  Center (not HS),Certified,30,Unknown,No,No,.
,1060 18th Ave SE,Albany,OR,97322,5412241921,Family,Regulated Family Child Care Home,Register,6,Yes,No,No,2
Little Owls Nursery School,2455 SE Thompson St,Corvallis,OR,97333,5412071132,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
CCCC-Growing Oaks - Westside,4000 SW Western Blvd,Corvallis,OR,97333,5412073128,Center,Regulated  Center (not HS),Certified,64,Yes,No,No,2
Tiny Acorns Developmental Preschool,3615 Spicer Rd SE,Albany,OR,97322,5417917854,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,1210 Sunset Ln,Sweet Home,OR,97386,2083513717,Family,Regulated Family Child Care Home,Register,5,Yes,No,No,.
Stephanie's Fun Care,767 Montclair DR NE,Albany,OR,97322,5418017610,Certified,Regulated Family Child Care Home,Certified,12,Unknown,No,No,.
Lil Bee's Childcare,1267 Cleveland St SE,Albany,OR,97322,5415054479,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
CAP-Timber Ridge,373 Timber Ridge ST NE,Albany,OR,97322,5419742907,Center,Regulated  Center (not HS),Certified,24,Unknown,No,No,.
CAP-Oak Grove,1500 Oak Grove Dr NW,Albany,OR,97321,5419795723,Center,Regulated  Center (not HS),Certified,75,Unknown,No,No,.
,278 Casting St SE,Albany,OR,97322,5417048288,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,2
Lollipop Lane Preschool,38838 SW 5th Ave,Scio,OR,97374,5033942240,Center,Exempt Center,Recorded,8,Unknown,No,No,.
G3 Sports& Fitness,5640 NW Highway 99,Corvallis,OR,97330,5417405586,Certified,Regulated Family Child Care Home,Certified,15,Unknown,No,No,.
Punkin Seed Preschool,305 S 5th St,Lebanon,OR,97355,5412587994,Center,Exempt Center,Recorded,20,Unknown,No,No,.
Kings Kids Early Learning Center,65 W Grant ST,Lebanon,OR,97355,5412208364,Center,Regulated  Center (not HS),Certified,19,Unknown,No,No,.
Itsy Bitsy Daycare,1405 8th Ave SW,Albany,OR,97321-2061,5417306035,Certified,Regulated Family Child Care Home,Certified,10,Yes,No,No,.
Elizabeth's Daycare,2742 Collingwood St SE,Albany,OR,97322,5419796229,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
PreK Club- Boys and Girls Club of the Greater Santiam,890 18th Ave,Sweet Home,OR,97386,5414053003,Center,Exempt Center,Recorded,20,Unknown,No,No,.
PreK Club II - Boys and Girls Club of the Greater Santiam,500 N 5th St,Lebanon,OR,97355,5414053003,Center,Exempt Center,Recorded,20,Unknown,No,No,.
,2632 NW Laura Vista DR,Albany,OR,97321,5419746828,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
Little Addie-tudes,2440 Robinhood Lane NW,Albany,OR,,5419741004,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,321 S 18th St,Philomath,OR,97370,5416091653,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
,2922 NE Kimila DR,Albany,OR,97321,5417407199,Family,Regulated Family Child Care Home,Register,10,Yes,No,No,.
The Faeriehouse Daycare,136 NW 30th Street,Corvallis,OR,,5412315700,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
,816 Umpqua St,Harrisburg,OR,97446-9587,5418449445,Family,Regulated Family Child Care Home,Register,10,Unknown,No,No,.
The Robin's Nest Childcare Center LLC,802 NW Buchanan Ave,Corvallis,OR,97330,5412241102,Center,Regulated  Center (not HS),Certified,16,Unknown,No,No,.
,4041 Somerset Dr NE,Albany,OR,,5419718676,Family,Exempt Family Child Care Home,Exempt,3,Unknown,No,No,.
Corvallis Early Learning,4295 NW Canary Pl,Corvallis,OR,97330,5039277873,Certified,Regulated Family Child Care Home,Certified,16,Unknown,No,No,.
Kidco Head Start - Corvallis Lincolin Center,110 SE Alexander Ave,Corvallis,OR,97333,5417664681,Center,Head Start/Early HS,Certified,18,Unknown,Yes,No,.
Kidco Head Start - Mountain View,340 NE Granger Ave,Corvallis,OR,97339,5414511581,Center,Head Start/Early HS,Certified,17,Unknown,Yes,No,.
Happy Place Child Care - Main St,1543 Main St,Philomath,OR,97370,5417600058,Certified,Regulated Family Child Care Home,Certified,16,Yes,No,No,.
,6300 SW Grand Oaks Apt H104,Corvallis,OR,97333,7142874312,Family,Regulated Family Child Care Home,Register,2,Yes,No,No,.
Casi's Kiddo Care,2448 NW Maser Dr,Corvallis,OR,97330,5416025089,Family,Regulated Family Child Care Home,Register,7,Unknown,No,No,.
Teddi's Daycare,1205 Crescent Dr,Albany,OR,97321,5419265905,Family,Regulated Family Child Care Home,Register,8,Unknown,No,No,.
,33849 Powell Hills Loop,Shedd,OR,97377,5414663281,Family,Regulated Family Child Care Home,Register,6,Unknown,No,No,.
